Facility,State,County / Name of Facility,"Confirmed Cases 
(Staff)",Confirmed Cases (Residents),"Confirmed Deaths
(Staff)","Confirmed Deaths
(Residents)",Staff Recovered,Residents Recovered,"Date 
(last updated)",Source(s),Additional Notes,Coder,
,,,8460,25694,37,363,2037,7531,,,,,
Prison,Alabama,State-Wide (for non-specific facilities),,,,,,,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Alex City,1,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,ATEF,0,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Bibb,0,1,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Birmingham,0,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Bullock,1,1,0,0,0,1,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Camden,0,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Childersburg,0,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Donaldson,0,0,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
Prison,Alabama,Easterling,0,1,0,0,0,0,5/11/20,http://www.doc.alabama.gov/covid19news,(4/25/20) update on website from 4/24 says 2 staff have returned to work after testing positive. ( http://www.doc.alabama.gov/COVID19NewsFeed ) ----- (4/1/20) press release says no resident cases and two staff cases total ( http://www.doc.state.al.us/covid19news#pan24 ),KP,
