FID,OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
1,1201,10000919,JESSUP CORRECTIONAL INSTITUTION,"P O BOX 534, HOUSE OF CORRECTION RD",JESSUP,MD,20794,NOT AVAILABLE,(410) 799-6100,STATE,OPEN,1619,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,6/30/2016,IMAGERY/OTHER,2017/12/05 00:00:00,http://www.dpscs.maryland.gov/locations/prisons.shtml,MAXIMUM,1750,0.0178892438438,2223.85006758242,1.44769458225e-05
2,1,10006326,GADSDEN RE-ENTRY CENTER,630 OPPORTUNITY LANE,HAVANA,FL,32333,NOT AVAILABLE,(850) 539-2440,STATE,OPEN,383,GADSDEN,12039,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/orginfo/facilitydir.html#4",9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,MEDIUM,432,0.00635179011114,760.026051793899,2.48321285195e-06
3,1202,10001557,JESSUP PRE-RELEASE UNIT,2000 TOULSON RD,JESSUP,MD,20794,NOT AVAILABLE,NOT AVAILABLE,STATE,CLOSED,0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.dpscs.state.md.us/locations/prisons.shtml,4/1/2014,IMAGERY/OTHER,2017/12/05 00:00:00,http://www.dpscs.state.md.us/locations/prisons.shtml,MINIMUM,596,0.0061658990468,772.764319671447,1.87915634026e-06
4,2,10006327,BAKER RE-ENTRY CENTER,17128 US HIGHWAY 90 WEST,SANDERSON,FL,32087,NOT AVAILABLE,(386) 719-6300,STATE,OPEN,397,BAKER,12003,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/orginfo/facilitydir.html#4",9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,MEDIUM,432,0.00703467598496,848.693639156055,3.07949456259e-06
5,1203,10003464,"UTAH STATE PRISON, DRAPER - NORTH COMPLEX",WEST 13800 SOUTH,DRAPER,UT,84020,NOT AVAILABLE,(801) 576-7000,STATE,OPEN,994,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://crbiprod.utah.gov/cognos10/cgi-bin/cognos.cgi?b_action=xts.run&m=portal/cc.xts&gohome=,1/17/2018,IMAGERY/OTHER,2018/01/17 00:00:00,https://corrections.utah.gov/,MAXIMUM,2000,0.0283235852297,3684.6272749866,2.03282838195e-05
6,3,10004255,SOUTH MISSISSIPPI CORRECTIONAL INSTITUTION,22689 STATE HWY 63 N,LEAKESVILLE,MS,39451,NOT AVAILABLE,(601) 394-5600,STATE,OPEN,2637,GREENE,28041,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mdoc.ms.gov/Admin-Finance/Pages/Monthly-Facts.aspx,12/4/2017,IMAGERY/OTHER,2017/12/08 00:00:00,http://www.mdoc.ms.gov/Pages/Facility-Locations.aspx,MAXIMUM,3082,0.0351515539098,4140.68856585259,3.70912879597e-05
7,1204,10001874,NORTHERN REGIONAL JAIL / CORRECTIONAL FACILITY,112 N REGIONAL CORRECTIONAL DR,MOUNDSVILLE,WV,26041,NOT AVAILABLE,(304) 843-4067,COUNTY,OPEN,-999,MARSHALL,54051,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.wvdoc.com/wvdoc/PrisonsandFacilities/tabid/36/Default.aspx, http://rja.wv.gov/facilityinfo/Pages/default.aspx",1/22/2018,IMAGERY,2018/01/22 00:00:00,http://www.wvdoc.com/wvdoc/PrisonsandFacilities/tabid/36/Default.aspx,MAXIMUM,-999,0.00901112031734,1149.89446027773,4.75652514895e-06
8,4,10001816,EAST MISSISSIPPI CORRECTIONAL FACILITY,10641 HWY 80 W,MERIDIAN,MS,39307,NOT AVAILABLE,(601) 485-5255,STATE,OPEN,1266,LAUDERDALE,28075,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.mdoc.ms.gov/Admin-Finance/Pages/Monthly-Facts.aspx, http://www.mtctrains.com/corrections/#locations",12/4/2017,IMAGERY,2017/12/08 00:00:00,http://www.mtctrains.com/corrections/#locations,MAXIMUM,1500,0.0106507982639,1291.10641902032,6.25296684442e-06
9,1205,10003465,"UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",14425 BITTERBRUSH LANE,DRAPER,UT,84020,NOT AVAILABLE,(801) 576-7000,STATE,OPEN,1839,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,"https://crbiprod.utah.gov/cognos10/cgi-bin/cognos.cgi?b_action=xts.run&m=portal/cc.xts&gohome=, https://corrections.utah.gov/",1/17/2018,IMAGERY/OTHER,2018/01/17 00:00:00,https://corrections.utah.gov/,MAXIMUM,2450,0.0354241766791,4509.74519949864,2.43933657921e-05
10,5,10006328,EVERGLADES RE-ENTRY CENTER,1599 S.W. 187TH AVENUE,MIAMI,FL,33194,NOT AVAILABLE,(305) 228-4400,STATE,OPEN,386,MIAMI-DADE,12086,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00593795491411,696.766598345612,2.20292169508e-06
