state,state_abbr,jail_pop_before_covid,jail_pop_recent,num_decrease,pct_decrease,suspended_vis,legal_vis_only,telephone_changes,video_call_changes,communication_changes,hygiene_product,screen_employees,screen_new_inmates,suspend_transfers,new_inmate_isolation,suspend_medical_copays,expedite_parole,reduce_staff,total_quarantine,lockdown_pos_covid,num_prison_releases,prison_pop_before_release,pct_pop_released,prison_release_policy_ind,prison_rel_parole_violation,prison_rel_nv_crimes,prison_rel_short_sentence,prison_rel_vulnerable_pop,prison_rel_other_pop,num_jail_releases,jail_pop_before_covid,pct_pop_released,jail_rel_policy_ind,jail_rel_parole_violation,jail_rel_nv_crimes,jail_rel_short_sentence,jail_rel_vulnerable_pop,jail_rel_other_pop,reduce_admission_prosecutor,reduce_admission_sheriff
Alabama,AL,6934,5588,1346,0.19411595,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,,,,1,1,0,0,0,0,587,2220,0.264414414,1,1,0,1,1,0,0,0
Alaska,AK,,,,,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0
Arizona,AZ,1871,1590,281,0.150187066,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,,,0,0,0,0,0,0,2277,9810,0.232110092,0,1,0,0,0,0,0,0
Arkansas,AR,4768,2611,2157,0.45239094,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,66,408,0.161764706,1,1,0,0,0,0,0,0
California,CA,43307,31551,11756,0.27145727,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,3418,114000,0.029982456,1,0,1,1,0,0,9446,30644,0.308249576,1,1,1,1,1,1,1,1
Colorado,CO,5962,3768,2194,0.367997316,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,52,17000,0.003058824,1,0,0,0,0,0,550,2000,0.275,0,0,0,1,1,1,0,0
Connecticut,CT,,,,,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0
Delaware,DE,,,,,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0
Florida,FL,14428,12725,1703,0.118034378,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,,,1,0,0,0,1,0,969,8564,0.113148062,0,1,0,1,0,1,0,0
Georgia,GA,38223,28251,9972,0.26089004,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,,,,0,0,0,0,0,0,103,,,0,1,0,0,0,0,1,1
